nombre_cms,link
shopify,https://img.icons8.com/color/48/shopify.png
wordpress,https://img.icons8.com/color/48/wordpress.png
woocommerce,https://img.icons8.com/color/48/woocommerce.png
magento,https://img.icons8.com/color/48/magento.png
prestashop,https://img.icons8.com/color/48/prestashop.png
salesforce,https://img.icons8.com/color/48/salesforce.png
salesforce_commerce_cloud,https://img.icons8.com/color/48/salesforce.png
odoo,https://www.appvizer.com/media/application/15818/logo/15818.png
joomla,https://img.icons8.com/color/48/joomla.png
drupal,https://img.icons8.com/color/48/drupal.png
wix,https://img.icons8.com/color/48/wix.png
sap,https://img.icons8.com/color/48/sap.png
dynamics365,https://img.icons8.com/color/48/dynamics-365.png
bigcommerce,https://img.icons8.com/color/48/bigcommerce.png
wixecommerce,https://img.icons8.com/color/48/wix.png
opencart,https://img.icons8.com/color/48/opencart.png
tiendanube,https://d2r9epyceweg5n.cloudfront.net/stores/002/364/477/themes/common/logo-1006150124-1670428822-22e57d40013f712b4dd927df8f8407671670428823.png
godaddy,https://rm-core-production.s3.amazonaws.com/logos/5536/large_GD_WORDMARK_RGB_BLACK__4_.png
mercadoshop,https://www.wappalyzer.com/images/icons/Mercado%20Shops.svg
spree_Commerce,https://cdn-icons-png.flaticon.com/256/825/825524.png
